id_user,mon,cnt_group,cnt_indiv,sum_group,sum_indiv,cnt_total,sum_total
1013,2023-01,10,4,8000,7200,14,15200
1013,2023-02,14,0,11200,0,14,11200
1013,2023-03,12,1,9600,1800,13,11400
1013,2023-04,13,1,10400,1800,14,12200
1013,2023-05,14,0,11200,0,14,11200
1013,2023-06,12,2,9600,3600,14,13200
1013,2023-07,12,2,9600,3600,14,13200
1013,2023-08,10,3,8000,5400,13,13400
1013,2023-09,13,1,10400,1800,14,12200
1013,2023-10,13,1,10400,1800,14,12200
1013,2023-11,9,4,7200,7200,13,14400
1014,2023-04,6,0,4800,0,6,4800
1014,2023-09,5,0,4000,0,5,4000
1015,2023-04,8,0,6400,0,8,6400
1015,2023-06,5,3,4000,5400,8,9400
1015,2023-09,6,0,4800,0,6,4800
1016,2023-01,0,4,0,7200,4,7200
1017,2023-12,0,6,0,10800,6,10800
1018,2023-08,0,4,0,7200,4,7200
1018,2023-09,0,5,0,9000,5,9000
1018,2023-10,0,6,0,10800,6,10800
1018,2023-11,0,3,0,5400,3,5400
1019,2023-01,0,4,0,7200,4,7200
1019,2023-02,0,6,0,10800,6,10800
1019,2023-03,0,3,0,5400,3,5400
1019,2023-04,0,6,0,10800,6,10800
1019,2023-05,0,4,0,6400,4,6400
1019,2023-06,0,3,0,5400,3,5400
1019,2023-12,0,5,0,9000,5,9000
1020,2023-01,7,3,5600,5400,10,11000
1020,2023-02,6,4,4800,7200,10,12000
1020,2023-06,8,0,6400,0,8,6400
1020,2023-07,6,0,4800,0,6,4800
1020,2023-08,7,0,5600,0,7,5600
1020,2023-09,6,0,4800,0,6,4800
1020,2023-10,6,0,4800,0,6,4800
1020,2023-11,8,0,6400,0,8,6400
1020,2023-12,6,0,4800,0,6,4800
1021,2023-04,0,1,0,1800,1,1800
1021,2023-05,0,1,0,1600,1,1600
1021,2023-06,0,3,0,5400,3,5400
1021,2023-07,0,1,0,1800,1,1800
1021,2023-08,0,3,0,5400,3,5400
1021,2023-11,0,1,0,1800,1,1800
1022,2023-01,4,3,3200,5400,7,8600
1022,2023-04,4,0,3200,0,4,3200
1022,2023-05,5,0,4000,0,5,4000
1022,2023-06,4,0,3200,0,4,3200
1022,2023-07,4,0,3200,0,4,3200
1022,2023-08,4,0,3200,0,4,3200
1022,2023-09,5,0,4000,0,5,4000
1022,2023-10,5,0,4000,0,5,4000
1022,2023-11,6,0,4800,0,6,4800
1022,2023-12,7,0,5600,0,7,5600
1023,2023-04,5,4,4000,7200,9,11200
1023,2023-07,4,6,3200,10800,10,14000
1023,2023-08,6,4,4800,7200,10,12000
1023,2023-09,5,4,4000,7200,9,11200
1023,2023-10,5,5,4000,9000,10,13000
1023,2023-11,7,3,5600,5400,10,11000
1024,2023-05,4,1,3200,1600,5,4800
1024,2023-06,4,2,3200,3600,6,6800
1024,2023-07,6,1,4800,1800,7,6600
1024,2023-08,5,1,4000,1800,6,5800
1024,2023-09,6,0,5600,0,6,5600
1024,2023-10,6,0,4800,0,6,4800
1024,2023-11,5,0,4000,0,5,4000
1025,2023-02,0,4,0,7200,4,7200
1026,2023-01,0,6,0,10800,6,10800
1027,2023-05,5,0,4000,0,5,4000
1027,2023-07,6,0,4800,0,6,4800
1027,2023-08,8,0,6400,0,8,6400
1027,2023-09,8,0,6400,0,8,6400
1027,2023-10,7,0,5600,0,7,5600
1027,2023-11,6,0,4800,0,6,4800
1028,2023-04,11,0,8800,0,11,8800
1028,2023-05,12,0,9600,0,12,9600
1028,2023-06,8,3,6400,5400,11,11800
1028,2023-07,7,0,5600,0,7,5600
1029,2023-01,12,4,10400,7200,16,17600
1029,2023-05,3,12,2400,19200,15,21600
1029,2023-06,13,3,10400,5400,16,15800
1029,2023-07,13,3,10400,5400,16,15800
1029,2023-08,10,6,8000,10800,16,18800
1029,2023-09,10,6,8000,10800,16,18800
1029,2023-10,11,4,9600,7200,15,16800
1029,2023-11,14,2,11200,3600,16,14800
1030,2023-05,4,0,3200,0,4,3200
1030,2023-06,2,0,1600,0,2,1600
1030,2023-07,5,0,4000,0,5,4000
1030,2023-08,4,0,3200,0,4,3200
1030,2023-09,6,0,4800,0,6,4800
1030,2023-10,6,0,4800,0,6,4800
1030,2023-11,3,0,2400,0,3,2400
1031,2023-07,2,3,1600,5400,5,7000
1031,2023-09,2,2,1600,3600,4,5200
1031,2023-10,3,3,2400,5400,6,7800
1031,2023-11,3,2,2400,3600,5,6000
1031,2023-12,2,3,1600,5400,5,7000
1032,2023-07,5,0,4000,0,5,4000
1032,2023-09,7,0,5600,0,7,5600
1032,2023-10,4,0,3200,0,4,3200
1032,2023-11,4,0,3200,0,4,3200
1033,2023-04,3,1,2400,1800,4,4200
1033,2023-05,2,2,1600,3200,4,4800
1033,2023-06,3,1,2400,1800,4,4200
1033,2023-09,4,0,3200,0,4,3200
1033,2023-10,4,0,4000,0,4,4000
1033,2023-11,4,0,3200,0,4,3200
1034,2023-01,0,3,0,5400,3,5400
1034,2023-02,0,4,0,7200,4,7200
1035,2023-02,0,4,0,7200,4,7200
1035,2023-03,0,8,0,14400,8,14400
1035,2023-04,0,4,0,7200,4,7200
1035,2023-05,0,4,0,6400,4,6400
1035,2023-06,0,8,0,14400,8,14400
1035,2023-07,0,5,0,9000,5,9000
1035,2023-08,0,5,0,9000,5,9000
1035,2023-09,0,5,0,9000,5,9000
1035,2023-10,0,6,0,10800,6,10800
1035,2023-11,0,5,0,9000,5,9000
1036,2023-08,0,4,0,7200,4,7200
1036,2023-09,0,6,0,10800,6,10800
1036,2023-10,0,6,0,10800,6,10800
1036,2023-11,0,6,0,10800,6,10800
1036,2023-12,0,4,0,7200,4,7200
1037,2023-01,10,5,8000,9000,15,17000
1037,2023-08,10,6,8000,10800,16,18800
1037,2023-09,11,5,8800,9000,16,17800
1037,2023-11,14,2,11200,3600,16,14800
1037,2023-12,11,5,8800,9000,16,17800
1038,2023-01,7,0,5600,0,7,5600
1038,2023-05,2,4,1600,6400,6,8000
1038,2023-06,7,0,5600,0,7,5600
1038,2023-11,6,0,5600,0,6,5600
1038,2023-12,8,0,7200,0,8,7200
1039,2023-06,6,2,4800,3600,8,8400
1039,2023-07,5,3,4000,5400,8,9400
1039,2023-08,3,5,2400,9000,8,11400
1040,2023-01,3,1,2400,1800,4,4200
1040,2023-02,4,0,3200,0,4,3200
1040,2023-04,3,1,2400,1800,4,4200
1040,2023-05,0,4,0,6400,4,6400
1040,2023-06,3,1,3200,1800,4,5000
1040,2023-07,3,0,2400,0,3,2400
1040,2023-08,3,1,2400,1800,4,4200
1040,2023-09,3,1,2400,1800,4,4200
1040,2023-10,4,0,3200,0,4,3200
1040,2023-11,4,0,3200,0,4,3200
1040,2023-12,3,1,2400,1800,4,4200
1041,2023-01,6,4,4800,7200,10,12000
1041,2023-02,6,4,4800,7200,10,12000
1041,2023-03,5,5,4000,9000,10,13000
1041,2023-07,5,0,4000,0,5,4000
1041,2023-08,4,0,3200,0,4,3200
1041,2023-09,7,0,5600,0,7,5600
1041,2023-10,4,0,3200,0,4,3200
1041,2023-11,6,0,4800,0,6,4800
1041,2023-12,4,0,3200,0,4,3200
1042,2023-11,0,2,0,3600,2,3600
1042,2023-12,0,1,0,1800,1,1800
1043,2023-01,2,4,1600,7200,6,8800
1043,2023-02,4,3,3200,5400,7,8600
1043,2023-03,3,3,2400,5400,6,7800
1043,2023-07,3,3,2400,5400,6,7800
1043,2023-10,4,3,3200,5400,7,8600
1043,2023-11,3,3,2400,5400,6,7800
1043,2023-12,3,3,2400,5400,6,7800
1045,2023-01,3,4,2400,7200,7,9600
1045,2023-06,8,0,6400,0,8,6400
1045,2023-07,3,0,2400,0,3,2400
1045,2023-08,5,0,4000,0,5,4000
1045,2023-09,6,0,4800,0,6,4800
1045,2023-10,4,0,3200,0,4,3200
1045,2023-11,6,0,4800,0,6,4800
1045,2023-12,7,0,5600,0,7,5600
1046,2023-01,0,7,0,12600,7,12600
1046,2023-02,0,7,0,12600,7,12600
1046,2023-03,0,4,0,7200,4,7200
1046,2023-07,0,4,0,7200,4,7200
1046,2023-10,0,4,0,7200,4,7200
1046,2023-11,0,6,0,10800,6,10800
1046,2023-12,0,6,0,10800,6,10800
1047,2023-01,0,2,0,3600,2,3600
1047,2023-02,0,4,0,7200,4,7200
1047,2023-03,0,3,0,5400,3,5400
1047,2023-04,0,2,0,3600,2,3600
1048,2023-01,7,0,5600,0,7,5600
1048,2023-02,4,0,3200,0,4,3200
1048,2023-03,6,0,4800,0,6,4800
1048,2023-04,4,0,3200,0,4,3200
1048,2023-05,5,2,4000,3200,7,7200
1048,2023-06,8,0,6400,0,8,6400
1048,2023-11,8,0,6400,0,8,6400
1048,2023-12,7,0,5600,0,7,5600
1049,2023-01,12,4,9600,7200,16,16800
1050,2023-01,7,1,5600,1800,8,7400
1050,2023-02,6,1,4800,1800,7,6600
1050,2023-03,7,1,5600,1800,8,7400
1050,2023-04,7,0,5600,0,7,5600
1050,2023-05,8,0,6400,0,8,6400
1050,2023-06,5,0,4000,0,5,4000
1050,2023-07,6,0,4800,0,6,4800
1050,2023-08,4,0,3200,0,4,3200
1050,2023-09,8,0,6400,0,8,6400
1052,2023-04,0,4,0,7200,4,7200
1052,2023-05,0,5,0,8000,5,8000
1053,2023-09,6,0,4800,0,6,4800
1053,2023-10,8,0,6400,0,8,6400
1053,2023-11,8,0,6400,0,8,6400
1053,2023-12,8,0,6400,0,8,6400
1054,2023-01,7,3,5600,5400,10,11000
1054,2023-02,7,3,5600,5400,10,11000
1054,2023-03,4,6,3200,10800,10,14000
1054,2023-04,6,0,4800,0,6,4800
1054,2023-10,4,0,3200,0,4,3200
1054,2023-11,4,0,3200,0,4,3200
1055,2023-01,6,4,4800,7200,10,12000
1055,2023-02,6,3,4800,5400,9,10200
1055,2023-03,5,5,4000,9000,10,13000
1055,2023-04,4,6,3200,10800,10,14000
1055,2023-07,5,5,4000,9000,10,13000
1055,2023-08,4,6,3200,10800,10,14000
1055,2023-09,8,2,6400,3600,10,10000
1056,2023-01,0,6,0,10800,6,10800
1056,2023-02,0,5,0,9000,5,9000
1056,2023-05,0,3,0,4800,3,4800
1056,2023-08,0,5,0,9000,5,9000
1056,2023-09,0,2,0,3600,2,3600
1056,2023-10,0,2,0,3600,2,3600
1056,2023-11,0,6,0,10800,6,10800
1056,2023-12,0,5,0,9000,5,9000
1057,2023-01,5,0,4000,0,5,4000
1057,2023-02,5,0,4000,0,5,4000
1057,2023-03,5,0,4000,0,5,4000
1057,2023-04,8,0,6400,0,8,6400
1057,2023-05,5,0,4000,0,5,4000
1057,2023-06,5,0,4000,0,5,4000
1057,2023-07,7,0,5600,0,7,5600
1057,2023-08,6,0,4800,0,6,4800
1057,2023-09,7,0,5600,0,7,5600
1057,2023-10,5,0,4000,0,5,4000
1057,2023-11,7,0,5600,0,7,5600
1058,2023-01,3,5,2400,9000,8,11400
1058,2023-07,3,5,2400,9000,8,11400
1058,2023-08,2,6,1600,10800,8,12400
1058,2023-09,5,3,4000,5400,8,9400
1058,2023-11,5,3,4000,5400,8,9400
1059,2023-01,0,5,0,9000,5,9000
1059,2023-02,0,6,0,10800,6,10800
1059,2023-03,0,4,0,7200,4,7200
1060,2023-03,0,3,0,5400,3,5400
1060,2023-06,0,4,0,7200,4,7200
1061,2023-01,5,7,4000,12600,12,16600
1061,2023-02,8,4,6400,7200,12,13600
1061,2023-04,4,7,3200,12600,11,15800
1061,2023-05,5,5,4000,8000,10,12000
1061,2023-06,5,0,4000,0,5,4000
1061,2023-11,7,0,5600,0,7,5600
1062,2023-03,0,2,0,3600,2,3600
1062,2023-04,0,4,0,7200,4,7200
1064,2023-07,0,4,0,7200,4,7200
1064,2023-08,0,2,0,3600,2,3600
1064,2023-09,0,2,0,3600,2,3600
1064,2023-10,0,3,0,5400,3,5400
1064,2023-11,0,3,0,5400,3,5400
1065,2023-07,4,0,3200,0,4,3200
1065,2023-08,3,1,2400,1800,4,4200
1065,2023-09,3,0,2400,0,3,2400
1065,2023-10,4,0,3200,0,4,3200
1065,2023-11,3,0,2400,0,3,2400
1066,2023-01,9,5,7200,9000,14,16200
1066,2023-02,8,6,6400,10800,14,17200
1066,2023-03,12,2,9600,3600,14,13200
1066,2023-04,11,2,8800,3600,13,12400
1066,2023-05,11,3,8800,4800,14,13600
1066,2023-06,11,2,8800,3600,13,12400
1066,2023-07,12,2,9600,3600,14,13200
1067,2023-01,12,0,9600,0,12,9600
1067,2023-02,8,0,6400,0,8,6400
1067,2023-03,9,0,7200,0,9,7200
1067,2023-04,11,0,8800,0,11,8800
1067,2023-05,11,0,8800,0,11,8800
1067,2023-06,11,0,8800,0,11,8800
1067,2023-07,8,0,6400,0,8,6400
1067,2023-08,8,0,6400,0,8,6400
1067,2023-09,10,0,8000,0,10,8000
1067,2023-10,8,0,6400,0,8,6400
1067,2023-11,12,0,9600,0,12,9600
1068,2023-01,0,2,0,3600,2,3600
1068,2023-02,0,6,0,10800,6,10800
1068,2023-03,0,5,0,9000,5,9000
1068,2023-04,0,2,0,3600,2,3600
1069,2023-01,0,7,0,12600,7,12600
1069,2023-02,0,5,0,9000,5,9000
1069,2023-03,0,5,0,9000,5,9000
1069,2023-04,0,8,0,14400,8,14400
1069,2023-06,0,8,0,14400,8,14400
1069,2023-07,0,7,0,12600,7,12600
1069,2023-08,0,5,0,9000,5,9000
1069,2023-10,0,5,0,9000,5,9000
1069,2023-11,0,5,0,9000,5,9000
1069,2023-12,0,5,0,9000,5,9000
1071,2023-06,3,0,2400,0,3,2400
1071,2023-07,4,0,3200,0,4,3200
1071,2023-08,3,0,2400,0,3,2400
1071,2023-09,4,0,3200,0,4,3200
1072,2023-02,6,0,4800,0,6,4800
1072,2023-03,5,1,4000,1800,6,5800
1072,2023-04,5,1,4000,1800,6,5800
1072,2023-05,7,0,5600,0,7,5600
1072,2023-07,7,0,5600,0,7,5600
1072,2023-09,7,0,5600,0,7,5600
1072,2023-11,6,0,4800,0,6,4800
1072,2023-12,6,0,4800,0,6,4800
1073,2023-01,0,1,0,1800,1,1800
1073,2023-02,0,4,0,7200,4,7200
1074,2023-02,8,0,6400,0,8,6400
1074,2023-04,8,0,6400,0,8,6400
1074,2023-05,0,6,0,9600,6,9600
1074,2023-06,5,0,4000,0,5,4000
1074,2023-07,5,0,4000,0,5,4000
1074,2023-08,6,0,4800,0,6,4800
1075,2023-07,4,6,3200,10800,10,14000
1075,2023-08,4,6,3200,10800,10,14000
1075,2023-09,7,3,5600,5400,10,11000
1075,2023-10,6,3,4800,5400,9,10200
1075,2023-11,8,2,6400,3600,10,10000
1075,2023-12,7,3,5600,5400,10,11000
1076,2023-01,12,0,9600,0,12,9600
1076,2023-02,9,0,7200,0,9,7200
1076,2023-03,12,0,9600,0,12,9600
1076,2023-04,12,0,9600,0,12,9600
1076,2023-08,12,0,9600,0,12,9600
1076,2023-09,9,0,8000,0,9,8000
1076,2023-11,10,0,8000,0,10,8000
1077,2023-01,5,5,4000,9000,10,13000
1077,2023-02,6,4,4800,7200,10,12000
1077,2023-03,6,4,4800,7200,10,12000
1077,2023-11,6,4,4800,7200,10,12000
1077,2023-12,8,2,6400,3600,10,10000
1078,2023-03,2,0,1600,0,2,1600
1078,2023-04,3,0,2400,0,3,2400
1078,2023-05,3,1,2400,1600,4,4000
1078,2023-06,1,0,800,0,1,800
1078,2023-08,1,0,800,0,1,800
1078,2023-10,3,0,2400,0,3,2400
1078,2023-11,2,0,1600,0,2,1600
1078,2023-12,1,0,800,0,1,800
1079,2023-03,1,2,800,3600,3,4400
1079,2023-04,2,1,1600,1800,3,3400
1079,2023-05,0,3,0,4800,3,4800
1079,2023-06,2,1,1600,1800,3,3400
1079,2023-07,2,1,1600,1800,3,3400
1079,2023-08,3,0,2400,0,3,2400
1079,2023-09,3,0,2400,0,3,2400
1079,2023-10,2,1,1600,1800,3,3400
1080,2023-04,0,1,0,1800,1,1800
1080,2023-05,0,3,0,4800,3,4800
1081,2023-02,0,1,0,1800,1,1800
1081,2023-03,0,2,0,3600,2,3600
1081,2023-04,0,1,0,1800,1,1800
1081,2023-05,0,1,0,1600,1,1600
1081,2023-10,0,1,0,1800,1,1800
1081,2023-11,0,1,0,1800,1,1800
1081,2023-12,0,1,0,1800,1,1800
1082,2023-01,3,2,2400,3600,5,6000
1082,2023-02,3,2,2400,3600,5,6000
1082,2023-03,4,0,3200,0,4,3200
1082,2023-11,2,0,1600,0,2,1600
1082,2023-12,2,0,1600,0,2,1600
1083,2023-01,4,1,3200,1800,5,5000
1083,2023-02,4,1,3200,1800,5,5000
1083,2023-05,3,3,2400,4800,6,7200
1083,2023-06,3,3,2400,5400,6,7800
1083,2023-07,4,1,3200,1800,5,5000
1083,2023-10,4,1,3200,1800,5,5000
1084,2023-01,2,4,1600,7200,6,8800
1084,2023-02,4,3,3200,5400,7,8600
1084,2023-03,2,4,1600,7200,6,8800
1085,2023-01,6,4,4800,7200,10,12000
1085,2023-02,6,4,4800,7200,10,12000
1085,2023-03,6,0,4800,0,6,4800
1085,2023-05,7,0,5600,0,7,5600
1085,2023-06,6,0,4800,0,6,4800
1085,2023-07,6,0,4800,0,6,4800
1085,2023-08,8,0,6400,0,8,6400
1085,2023-09,5,0,4000,0,5,4000
1086,2023-01,0,6,0,10800,6,10800
1086,2023-02,0,4,0,7200,4,7200
1086,2023-03,0,7,0,12600,7,12600
1086,2023-04,0,6,0,10800,6,10800
1086,2023-05,0,5,0,8200,5,8200
1086,2023-06,0,5,0,9000,5,9000
1086,2023-07,0,8,0,14400,8,14400
1086,2023-08,0,4,0,7200,4,7200
1086,2023-09,0,6,0,10800,6,10800
1087,2023-01,6,3,4800,5400,9,10200
1087,2023-02,7,2,5600,3600,9,9200
1087,2023-03,7,1,5600,1800,8,7400
1087,2023-04,6,3,4800,5400,9,10200
1087,2023-05,0,10,0,16000,10,16000
1087,2023-09,8,0,6400,0,8,6400
1087,2023-10,5,0,4000,0,5,4000
1087,2023-11,7,0,5600,0,7,5600
1087,2023-12,8,0,6400,0,8,6400
1088,2023-06,0,2,0,3600,2,3600
1088,2023-07,0,3,0,5400,3,5400
1088,2023-08,0,3,0,5400,3,5400
1089,2023-02,7,0,5600,0,7,5600
1089,2023-09,5,0,4000,0,5,4000
1089,2023-10,6,0,4800,0,6,4800
1089,2023-11,8,0,6400,0,8,6400
1090,2023-02,0,4,0,7200,4,7200
1090,2023-05,0,4,0,6400,4,6400
1090,2023-06,0,3,0,5400,3,5400
1090,2023-07,0,4,0,7200,4,7200
1090,2023-08,0,2,0,3600,2,3600
1090,2023-09,0,1,0,1800,1,1800
1090,2023-10,0,4,0,7200,4,7200
1090,2023-11,0,3,0,5400,3,5400
1090,2023-12,0,2,0,3600,2,3600
1091,2023-02,8,4,6400,7200,12,13600
1091,2023-07,8,4,6400,7200,12,13600
1091,2023-09,6,5,4800,9000,11,13800
1091,2023-11,6,6,4800,10800,12,15600
1091,2023-12,6,6,4800,10800,12,15600
1092,2023-10,10,3,8000,5400,13,13400
1093,2023-01,6,5,4800,9000,11,13800
1093,2023-02,5,6,4000,10800,11,14800
1093,2023-03,5,0,4000,0,5,4000
1093,2023-04,5,0,4000,0,5,4000
1093,2023-05,8,0,6400,0,8,6400
1093,2023-06,6,0,4800,0,6,4800
1093,2023-07,5,0,4000,0,5,4000
1093,2023-08,6,0,4800,0,6,4800
1093,2023-09,5,0,4000,0,5,4000
1093,2023-10,4,0,3200,0,4,3200
1094,2023-09,4,0,3200,0,4,3200
1094,2023-11,4,0,3200,0,4,3200
1094,2023-12,4,0,3200,0,4,3200
1095,2023-01,0,3,0,5400,3,5400
1095,2023-02,0,1,0,1800,1,1800
1095,2023-03,0,1,0,1800,1,1800
1096,2023-01,0,2,0,3600,2,3600
1096,2023-02,0,2,0,3600,2,3600
1096,2023-03,0,3,0,5400,3,5400
1096,2023-04,0,4,0,7200,4,7200
1096,2023-05,0,3,0,4800,3,4800
1096,2023-06,0,2,0,3600,2,3600
1096,2023-07,0,2,0,3600,2,3600
1096,2023-08,0,2,0,3600,2,3600
1096,2023-09,0,3,0,5400,3,5400
1096,2023-12,0,5,0,9000,5,9000
1097,2023-08,4,0,3200,0,4,3200
1097,2023-09,3,0,2400,0,3,2400
1097,2023-12,3,0,2400,0,3,2400
1098,2023-01,8,0,6400,0,8,6400
1098,2023-02,4,0,3200,0,4,3200
1098,2023-03,8,0,6400,0,8,6400
1098,2023-04,4,0,3200,0,4,3200
1098,2023-05,5,1,4800,1600,6,6400
1098,2023-06,6,0,4800,0,6,4800
1098,2023-07,6,0,4800,0,6,4800
1098,2023-08,4,0,3200,0,4,3200
1098,2023-09,8,0,7200,0,8,7200
1098,2023-10,6,0,4800,0,6,4800
1099,2023-01,4,5,3200,9000,9,12200
1099,2023-02,6,4,4800,7200,10,12000
1099,2023-03,8,2,6400,3600,10,10000
1099,2023-04,8,2,6400,3600,10,10000
1099,2023-08,6,3,4800,5400,9,10200
1099,2023-09,5,4,4000,7200,9,11200
1099,2023-10,7,2,5600,3600,9,9200
1100,2023-01,8,0,6400,0,8,6400
1100,2023-02,7,0,5600,0,7,5600
1100,2023-03,5,0,4000,0,5,4000
1100,2023-06,4,0,3200,0,4,3200
1100,2023-08,4,0,3200,0,4,3200
1100,2023-09,5,0,4000,0,5,4000
1100,2023-10,6,0,4800,0,6,4800
1100,2023-11,5,0,4000,0,5,4000
1101,2023-02,12,0,9600,0,12,9600
1101,2023-03,10,0,8000,0,10,8000
1101,2023-04,10,0,8000,0,10,8000
1101,2023-05,10,0,8000,0,10,8000
1101,2023-06,10,0,8000,0,10,8000
1101,2023-07,9,0,7200,0,9,7200
1101,2023-08,8,0,6400,0,8,6400
1101,2023-09,12,0,9600,0,12,9600
1101,2023-10,8,0,6400,0,8,6400
1101,2023-11,8,0,6400,0,8,6400
1101,2023-12,8,0,6400,0,8,6400
1102,2023-02,0,3,0,5400,3,5400
1103,2023-08,6,2,4800,3600,8,8400
1103,2023-12,4,4,3200,7200,8,10400
1104,2023-01,8,3,6400,5400,11,11800
1104,2023-02,8,3,6400,5400,11,11800
1104,2023-03,8,0,6400,0,8,6400
1104,2023-04,7,0,5600,0,7,5600
1104,2023-05,9,0,7200,0,9,7200
1104,2023-06,10,0,8000,0,10,8000
1104,2023-07,12,0,9600,0,12,9600
1104,2023-08,11,0,8800,0,11,8800
1104,2023-09,10,0,8000,0,10,8000
1104,2023-10,11,0,8800,0,11,8800
1104,2023-11,11,0,8800,0,11,8800
1104,2023-12,10,0,8000,0,10,8000
1105,2023-01,6,0,4800,0,6,4800
1105,2023-02,4,0,4000,0,4,4000
1105,2023-03,5,0,4000,0,5,4000
1105,2023-04,3,0,2400,0,3,2400
1105,2023-05,1,3,800,4800,4,5600
1105,2023-06,6,0,4800,0,6,4800
1105,2023-07,4,0,3200,0,4,3200
1105,2023-08,2,0,1600,0,2,1600
1105,2023-10,5,0,4000,0,5,4000
1105,2023-11,4,0,3200,0,4,3200
1106,2023-01,0,3,0,5400,3,5400
1106,2023-02,0,2,0,3600,2,3600
1106,2023-03,0,3,0,5400,3,5400
1107,2023-01,0,2,0,3600,2,3600
1107,2023-03,0,1,0,1800,1,1800
1108,2023-06,10,0,8000,0,10,8000
1108,2023-11,11,0,8800,0,11,8800
1108,2023-12,8,0,6400,0,8,6400
1109,2023-06,3,3,2400,5400,6,7800
1109,2023-07,3,3,2400,5400,6,7800
1109,2023-08,4,2,3200,3600,6,6800
1109,2023-09,4,2,3200,3600,6,6800
1109,2023-10,2,4,1600,7200,6,8800
1110,2023-06,10,2,8000,3600,12,11600
1110,2023-07,8,4,6400,7200,12,13600
1110,2023-08,11,0,8800,0,11,8800
1110,2023-09,11,1,8800,1800,12,10600
1110,2023-12,8,4,6400,7200,12,13600
1111,2023-03,0,4,0,7200,4,7200
1112,2023-02,0,6,0,10800,6,10800
1112,2023-05,0,4,0,6400,4,6400
1112,2023-06,0,2,0,3600,2,3600
1112,2023-07,0,3,0,5400,3,5400
1112,2023-08,0,5,0,9000,5,9000
